School Name,Address,Phone number,Mail,Website,Board
"Bishops School, Pune","P No 78 Yerawada Town Planning Scheme, Nr Pepsi Godown, Kalyani Nagar, Pune - 411014","+(91)-(20)-65212204,65212205,65237656",info@thebishopsschool.org  ,www.thebishopsschool.org,Maharastra State
"Bishops School Undri, Pune","Ganesh Mandir Kad Nagar, Undri, Mahammadwadi Rd, Kondhwa, Pune - 411048"," +(91)-(20)-32540383,26360437,26330261",info@thebishopsschool.org  ,www.thebishopsschool.org,Maharastra State
"Bissyland Co-Educational High School, Pune","Bissyland Co-Educational High School#776A INS Shivaji, Lonavala S.P. CollegePune - 411030 (Maharashtra), India",020-24472190,,,CBSE
"Blossom Chik Nursery, Pune","Blossom Chik NurseryAddress: Roham Chember, Shivpeth S.P. CollegeCity: PuneState: MaharashtraPincode: 411030Phone: 020-25455310",020-25455310,,,Maharastra State
"Blossom Public School, Pune","S No 82/2, Tathawade, Pune Mumbai Bypass Highway, Chinchwad, Pune - 411033","(91)-(20)-65731506,22934344,22934084,22933423",spmbps@rediffmail.com  ,www.jspm.edu.in,Maharashtra State
"Blue Bird Nursery School, Pune",Address: Manmohan Society Karve Nagar NavasahyadriCity: PuneState: MaharashtraPincode: 411052Phone: 020-25455752,020-25455752 ,,,Maharastra State
"Bramhadatta Vidyallaya For Mentally Retarded, Pune"," 		Pimpri, Pune - 411018",+(91)-(20)-27658105 ,,,Maharashtra State
"Bursar Niraml Bethany High School, Pune"," 		Kalewadi, Pune - 411017",(91)-(20)-27261435 ,,,Maharashtra State
"Cambridge International Academy, Pune","Cips, Village Khandpe At Post Kondiwada Taluka Karjat,","+(91)-2148226981,2148226982,2148226983",info@cambridgeindia.com  ,www.cambridgeindia.com,Maharashtra State
"Camp Education Soceity Primary School, Pune","	Sector 27a, Pradhikaran, Pune - 411044",(91)-(20)-27657049,,,Maharashtra State
"Canterburie School, Pune","	Bh Poona Guest House, Laxmi Rd, Sadashiv Peth, Pune - 411030", 	+(91)-9822874310,,,Maharashtra State
"Casa Dee Dambinee, Pune","		65/4/1a, Kedari Nagar Nr, Salunke Vihar Rd, Wanworie, Pune - 411040",(91)-9921438304,,,Maharashtra State
"Cathedral Vidya School, Pune","	Shilatne At Post Karla, Pune","9923796467 , 9822778947",principal@cathedral-lonavala.org  ,principal@cathedral-lonavala.org   		www.cathedral-lonavala.org,ICSE
"Ces Prerana Primary School, Pune","		Sector No 27/A, Pradhikaran, Pune - 411044",(91)-(20)-27652704 ,,,Maharashtra State
"Chairman Central School, Pune","	Yerawada, Pune - 411006",(91)-(20)-26695697,,,Maharashtra State
"Chate School, Pune","		Next To Big Bazar Opp Walvekar Lawn, Pune Satara Rd, Bibvewadi, Pune - 411037",(91)-9823274898,,,Maharashtra State
"Chate School, Pune","	Dube Pathare Wasti, Chandannagar Nagar Rd, Kharadi, Pune - 411014","(91)-(20)-32911386,20264062",,,Maharashtra State
"Chatra Prabhodini, Pune",Chatra Prabhodini510 Sadashiv PethPuneMaharashtra,,,,Maharashtra State
"Chatrabhuj Narsee School, Pune","Amanora Park Town Amanora Magarpatta Road, Pune - 411028",+91 86577 99480 / 81,contactus.amanora@cns.ac.in,https://amanora.cns.ac.in/,IGCSE
"Childrens Academy High School, Pune","		102/104 Kasba Peth, Behind Kasba Ganpati Temple, Manik Chowk, Kasba Peth, Pune - 411011","(91)-(20)-24433542,9371003088",,,Maharashtra State
"Chruch Of Christ, Pune"," 		Pune Satara Rd, Dhankavadi, Pune - 411043",(91)-(20)-24375260 ,,,Maharashtra State
"City International School, Pune","Kaka Halwai Lane, Opp City Pride Theatre, Pune Satara Rd, Satara Road, Pune - 411009", 	+(91)-(20)-24216869, ,,Maharastra State
"City Montessori School, Pune","	Opp Food Bazar Adidas Lane, Baner Rd, Baner, Pune - 411045",(91)-(20)-32502199,,,Maharastra State
"Cms English Medium School, Pune","1/28, Sambhaji Chowk, Nigdi, Pune - 411044"," +(91)-(20)-27654448,27650969",,,Maharashtra State
"Crescent Nursery Primary School, Pune","Crescent Nursery Primary SchoolAddress: #30/1, Gultekdi Kedgaon, Market YardCity: PuneState: MaharashtraPincode: 411037Phone: 020-24265787",020-24265787,,,CBSE
"Crescent School, Pune","S No 30/1, West Side, Giridhar Bhavan Gali No 2, Gultekdi, Pune - 411037","(91)-(20)-24265990,24265785,24265787",,,Maharashtra State
"Crescent School, Pune","		Opp Jija Mata Hospital, Pimpri, Pune - 411018","(91)-(20)-27413385,27415273,27462273,27460785",,,Maharashtra State
"D A V Public School, Pune","	S No 157 P No 31, D P Rd, Aundh, Pune - 411007","(91)-(20)-25890081,25893694,25880372,25890080",davpune@yahoo.com  ,www.davaundhpune.com,Maharastra State
"D E S School, Tilak Road, Pune","DES School, New English School, Tilak Road Premises, Tilak Road, Pune - 411 030.",020 65603239,,http://www.despune.org/des-primary-preprimary-school-tilakroad,Maharastra State
"Daffodil Intl School, Pune","		Hissa No 10a/9 10b/5 P No 59/60/61 S No 22 Subha Sanket, Mauje Baleadi Nr Sadanand Hotel, Off Bangalore Mumbai Bypass, Balewadi, Pune - 411045"," +(91)-(20)-25882140,25889062",info@disindia.in  ,www.disindia.in,Maharastra State
"Daffodills Nursery School, Pune","#2047 INS Shivaji, Lonavala S.P. CollegePune - 411030 (Maharashtra), India",+(91)-(20)-24332800,,,Maharashtra State
"Dastoor Primary School, Pune","	Dnyanganga Ganga Savera Cplx,Camp, Pune - 411001", +(91)-(20)-26362633,s.d.hormazdiar@yahoo.com  ,,Maharastra State
"Dastoor School Boys, Pune","Col Tarapore Rd, Camp, Pune - 411001",+(91)-(20)-26362632, ,,Maharastra State
"Deccan Education Secondery Prathamic School, Pune","Deccan Education Secendery Prathamic School, No. 487, Tilak Road, Sadashiv Peth, Bal Gandharva Road, Shukrawar Peth, Pune, Pune, Maharashtra 411030",020 24331517?,,,Maharashtra State
"Des Secondary School, Pune","486, Tilak Rd, Sadashiv Peth, Pune - 486, Tilak Rd, Sadashiv Peth, Pune -"," 	 	+(91)-(20)-24335195,24334635",,,Maharashtra State
"Dhruv Global School Undri, Pune","Eternal Exotica Abnavey Nagar, Kondhwa-Undri-Saswad Rd, Handewadi, Pune - 411060",,,,CBSE
"Dighe Kamal Madhukar, Pune"," 		415 Madhuban, Shivaji Nagar, Pune - 411005",+(91)-(20)-25539703 ,,,Maharashtra State
"Dnyan Prabodhini School, Pune","510, Nr Hatti Ganpati, Off Tilak Rd, Sadashiv Peth, Pune -"," +(91)-(20)-24477691,24491806", jpipms@vsnl.net   ,jpipms@vsnl.net,Maharashtra State
"Dnyanankur English Medium School, Pune"," 		Opp Dhankavadi Post Off, Dhankavadi, Pune - 411043","(91)-(20)-24365306,24362334",,,Maharashtra State
"Dnyandeep Primary School, Pune ","#53/1/1 Wadgaon BudrukPune - 411041 (Maharashtra), India",020-24350677,,,CBSE
"Dnyanganga School, Pune","Vitthalwadi, Sinhagad Rd, Hingane Khurd, Pune - 411051"," +(91)-(20)-24348071,24356902",,,Maharastra State
"Dnyanprabhodhini Navnagar Vidhyalay, Pune","		S No 25 Sindhu Nagar, Pradhikaran, Nigdi, Pune - 411044",+(91)-(20)-27657508,,,Maharashtra State
"Don Bosco High School, Pune","		Don Bosco Marg, Yerawada, Pune - 411006","+(91)-(20)-26610868,26688876,26686527",  		donaldsdb@donboscoyerwada.com  ,www.donboscoyerwada.com,Maharastra State
"Door Step School, Pune","110, Anand Park, Aundh, Pune-411007",020-25898762/ 9371007844,rajani@doorstepschool.org,http://www.doorstepschool.org/pune,Maharashtra State
"Door Step School < See Dada Pranjpeabhyasika, Pune","		21 A Tapobhumi Soc, Dattawadi, Pune - 411030",(91)-(20)-24334017 ,,,Maharashtra State
"Dr Babasaheb Ambedkar Mahavidyalay, Pune","Aundhgaon, Aundh, Pune - 411007", +(91)-(20)-25880883, ,www.bvbpune.org,Maharastra State
"Dr Dy Patil Public School, Pune","	Sant Tukaram Nagar, Pimpri, Pune - 411018",+(91)-(20)-27420402,,,Maharashtra State
"Dr Nanasaheb Parulekar Vidyalay, Pune"," 		Mental Corner, Alandi Rd, Yerawada, Pune - 411006",(91)-(20)-26612472,,,Maharashtra State
"Dr S D Tikhe School, Pune"," 		Pl No 8 32/1, Bh Mehendale Garrage, Erandwane, Pune - 411004",(91)-(20)-25434966 ,,,Maharashtra State
"Dr. D. Y. Patil Dnyanshanti School, Pune","Sector 29, Nigdi Pradhikaran, Akurdi, Pune - 411044, Maharashtra",020-2765 3058,contact@yourdomain.com,http://dypdss.com/,Maharashtra State
"Dr. Kalmadi Shamarao High School, Pune","S. No. 36, Erandwane, Ganesh Nagar Road,Pune - 411038","+(91)-(20)-25884460, 020 25433136, 25411830",khspune38@hotmail.com,www.khssec.org,Maharashtra State
"Dr. Kalmadi Shamarao High School Primary Section, Pune","55-57, Dr Ketkar Rd, Bhonde Colony,Erandwane, Pune - 411004",020-25433135,kalmadischool_primary@yahoo.com,https://kaveri.edu.in/khsp/,CBSE
"DSK School Dhayari, Pune","DSK Vishwa, Off Sinhagad Road, Dhayari, Pune - 411041",+91 20 24380047/48,dsk.school@yahoo.co.in,http://www.dskschool.in/,ICSE
