School Name,Address,Phone number,Details
Camp Education Primary School,"148, M.G. Road, Solapur Bazar, Camp   Pune - 411011, Maharashtra, India",(020)-26346165,Primary School Private School Co-Educational School 
Camp Education Society Girls School,"#278, Solapur Bazar Camp, Kasba Peth   Pune - 411001, Maharashtra, India",(020)-26360132,Maharashtra State Board of Secondary and Higher Secondary Education Private School Girls Only School 
Canary High International School,"Opp. Aga Khan Palace, Next to Shree Hospital, Kalyani Nagar   Pune - 411006, Maharashtra, India",9970766689,Play - Class VIII Private School Co-Educational School 
Canterberry Preschool,"3rd Floor, 313, South Block, Sacred World, Opp. Sacred Heart Town, Wanowrie   Pune - 411040, Maharashtra, India",9822006911,Play - Nursery Private School Co-Educational School 
Caring Hood Day Care and Play School,"SR No.16, Sai Villa, Mahadev Colony, Laxman Nagar, Next to Tukaram Gujar, Near Prerana School, Thergon   Pune - 411033, Maharashtra, India","9766348877, 7028953007",Play School Private School Co-Educational School 
Centre for Special Education Kanhoji Angre School,"24, Shukrawar Peth
   Pune - 411002, Maharashtra, India",(020)-24454473,Private School (School for Gifted Children) Co-Educational School Established in 1986 
Certified School for Girls,"Mundhwa   Pune - 411036, Maharashtra, India",(020)-26870781,CBSE Board Private School Girls Only School 
CES's Ankur Pre Primary School,"278, Solapur Bazar   Pune - 411001, Maharashtra, India",(020)-26333998,Nursery School Private School Co-Educational School 
CES's New Primary School,"588, Rasta Peth   Pune - 411011, Maharashtra, India",(020)-26336242,Primary School Private School Co-Educational School 
CES's Prerana Primary School,"Sector No. 27/A, Nigadi Pradhikaran   Pune - 411044, Maharashtra, India",(020)-27652704,Primary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
CES's Primary School,"148, Mahatma Gandhi Road, Camp   Pune - 411001, Maharashtra, India",(020)-26346165,Primary School Private School Co-Educational School 
Challanger Public School - CPS,"Opposite Poorva Residency, Shiv Sai Lane, Pimple Saudagar   Pune - 411027, Maharashtra, India","8793090638, 7796002000",Nursery - Class X CBSE Board Private School Co-Educational School 
Challenger Nursery School,"Sindhu Park Society, Opposite Radhika Sales, Rahatani Road, Pimple Saudagar   Pune - 411027, Maharashtra, India",9923370995,Play - Nursery Private School Co-Educational School Established in 2006 
Chate English Medium School,"Pune Satara Road, Bibvewadi   Pune - 411037, Maharashtra, India",(020)-24220049,Class V - Class X Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Chate Public School,"Opp. Jyoti Park Society, Taljai Last Bus Stop, Dhankawadi   Pune - 411043, Maharashtra, India",9096865109,High Secondary School CBSE Board Private School Co-Educational School 
Chate Residential Junior College,"Behind Kailash Bhel, Shivapur Baug, Gaud-dara   Pune - 412205, Maharashtra, India","9049050750, 9730000664",Senior Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Chate School and Junior College,"Shri Park Society, Opp. Balaji Hospital, Kharadi Bypass   Pune - 111045, Maharashtra, India","9372619353, 9372619484, 8055014656",Nursery - Class XII Private School Co-Educational School Established in 2004 
Cherry Kids,"No.65/4/1 A/1A, Kedari Nagar, Wanowrie   Pune - 411013, Maharashtra, India","8888622814, 9773842420",Play School Private School Co-Educational School 
Children's Academy High School,"103/105, Kasba Peth   Pune - 411011, Maharashtra, India",(020)-24573542,Nursery - Class X Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School Established in 1961 
Chintamani Vidya Mandir,"Sr.No. 32/19/1, Ambegaon Pathar   Pune - 411046, Maharashtra, India",(020)-24370381,Private School Co-Educational School 
Choice Preschool,"Choice Health Club, Behind Mc Donald, Karve Road, Kothrud Depot   Pune - 411038, Maharashtra, India",9595617606,Play - Nursery Private School Co-Educational School 
City International School,"Survey No. 79, Opp, Eklavya Polytechnic College, New D.P. Road, Kothurd   Pune - 411038, Maharashtra, India",(022)-25280205,Nursery - Class X CBSE Board Private School Co-Educational School 
City Montessori School,"Pimpri Camp, Jhamtani Chowk, Pimpri Colony   Pune - 411017, Maharashtra, India",(020)-32602574,Play - Nursery Private School (Montessori) Co-Educational School 
City Preschool,"937 Pudumjee Park, Near YMCA, Opp. Ambedkar College, Nana Peth   Pune - 411002, Maharashtra, India",9370365997,Play School Private School Co-Educational School 
City Pride School,"Sr 77/7, 77/8, Santosh Bhondave Nagar, Near Chandrabhaga Corner,
Behind Celestial City, Ravet   Pune - 412101, Maharashtra, India","8484035596, 9822950400, 9821000870",High Secondary School CBSE Board Private School Co-Educational School 
CP Goenka International School,"
Behind Hotel Mapple Adhwryou, Ubale Nagar,
Nagar-Pune Highway Road, Wagholi
   Pune - 412207, Maharashtra, India","8888341824, 9309154699",High Secondary School Private School Co-Educational School 
Creative Minds Preschool and Daycare,"Flat No. 2, Aryan Residency, Vishal Nagar, Pimple Nilakh-Pimpri, Chinchwad   Pune - 411027, Maharashtra, India","9923023840, 9822890099",Play - Nursery Private School Co-Educational School 
Crescent High School and Junior School,"West Side Giridhar Bhavan, Survey No. 30/1, Gali No. 2, Gultekdi   Pune - 411037, Maharashtra, India",(020)-24265990,Class X - Class XII Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Cygnet Public School,"S.No. 58, Indrayani Nagar, Handewadi Road, Hadapsar   Pune - 411028, Maharashtra, India","(020)-26970909, 64780819",Nursery - Class X Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Cynosure Preschool and Playgroup,"Survey No. 15/3+4+5, Vishal Nagar, Pimple Nilakh   Pune - 411027, Maharashtra, India","9168736283, 9881476306",Play - Nursery Private School Co-Educational School 
Daffodil International School,"Laxman Nagar, Behind DeMart, Mouje Balewadi, Baner Road   Pune - 411045, Maharashtra, India","9607142403, 9607058333",Private School (International) Co-Educational School 
Daffodils Nursery School,"Lane No. 2, Sasane Nagar, Hadapsar   Pune - 411030, Maharashtra, India","8600271199, 9822031518",Play - Nursery Private School (Montessori) Co-Educational School Established in 2009 
Darshan Academy,"Empire Estate CTF No. 4510, Chinchwad
   Pune - 411004, Maharashtra, India","7774066557, 7774066554",Senior Secondary School CBSE Board Private School Co-Educational School 
DAV Public School - Aundh,"S.No. 157, Plot No. 31, D.P. Road, Aundh   Pune - 411007, Maharashtra, India",(020)-25890081Fax : (020) 25893377,Senior Secondary School CBSE Board Private School Co-Educational School Established in 2003 
Deccan Maratha Junior College of Commerce and Science,"A/p. Landewadi (Manchar), Tal- Ambegaon Road   Pune - 412402, Maharashtra, India","(02133)-235105, 235106",Senior Secondary School Private School Co-Educational School 
Deena English School,"173/2, Pradhikaran, Akurdi   Pune - 411035, Maharashtra, India","9881052255, 9422567785, 8730507861",High Secondary School CBSE Board Private School Co-Educational School 
Delhi Public School - DPS Pune,"Vill- Mohammadwadi, Nyati County   Pune - 411060, Maharashtra, India","9175952118, 9175953118",Nursery - Class XII CBSE Board Private School Co-Educational School 
DES Primary and Pre Primary School,"New English School, Tilak Road Premises, Tilak Road
   Pune - 411030, Maharashtra, India",(020)-65603239,Primary School Private School Co-Educational School Established in 1985 
Dhayari Karnabadhir Mulanchi Shala,"Survey No. 49, Dhayari   Pune - 411041, Maharashtra, India",(020)-20245039,Private School (School for Deaf and Dumb) Co-Educational School Established in 1985 
Dhole Patil Pre-Primary School for Excellence,"Near EON IT Park Kharadi, Dhole Patil College Road   Pune - 412207, Maharashtra, India","8888353635, 8888939593",Play - Class I CBSE Board Private School Co-Educational School 
Dhruv Global School,"No. 26/2/1, Katraj Bypass Road, Undri   Pune - 411060, Maharashtra, India",9146058080,Play - Class XII CBSE Board Private School Co-Educational School Established in 2005 
Disha Funschool,"Nakshatra, S.No. 42/2a/4, Jadhav Nagar, Lane No. 2, Sinhgad Institute Road, Vadgaon Budruk   Pune - 411041, Maharashtra, India",9923133411,Play - Nursery Private School Co-Educational School 
Divine Hearts Preschool and Day Home,"Sr. No. 128/13, Berrys Avenue, Row House No. 3, Ram Indu Park, Behind State Bank of Mysore, Baner   Pune - 411045, Maharashtra, India",9766375468,Play - Kindergarten Private School Co-Educational School 
Divine Kids Play Group and Nursery,"S P J Education Society, Vandan, S.No. 4/1, Behind Hotel Radisson, Near Rakshak Nagar, Gold Society   Pune - 411014, Maharashtra, India",(020)-66828622,Play - Nursery Private School Co-Educational School 
Dnyanadeep Nursery School,"""Vineet"", 1, Dhanalaxmi Society,
Anandnagar, Sinhagad Road   Pune - 411051, Maharashtra, India",(020)-24354339,Nursery School Private School Co-Educational School 
Dnyanarth Play Groop School,"Chaturshringi   Pune - 411016, Maharashtra, India",9860481573,Play School Private School Co-Educational School 
Dnyandeep English Medium School,"53/1/1, Vadgaon Budruk
   Pune - 411041, Maharashtra, India",(020)-24350677,High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School Established in 2002 
Dnyaneshwar Balaji Murkute High School,"No. 258, Balaji Park, D.P. Road, Aundh   Pune - 411007, Maharashtra, India",(020)-27298680,High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School Established in 1996 
Dnyanganga Junior College,"S.No.24/5/3, Hingane Khurd, Sinhgad Road, Vitthal Wadi   Pune - 411051, Maharashtra, India",(020)-24345455,Senior Secondary School Private School Co-Educational School Established in 2001 
Dnyansadhana Vidyaniketan,"Dnyansadhna Marg, Behind Tata Motors   Pune - 400604, Maharashtra, India","(022)-25820481, 25830481",Nursery - Class X CBSE Board Private School Co-Educational School 
Dolphin Nursery,"Flat No. 1, Punyai Sadan Gopal Anand Society, Fatima Nagar, Near Kedari Garden
Wanowrie   Pune - 411040, Maharashtra, India",9890903762,Play - Nursery Private School Co-Educational School 
Don Bosco High School,"Don Bosco Marg, Yerawada   Pune - 411006, Maharashtra, India",(020)-26686527,Nursery - Class X Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Door Step School,"110, Anand Park, Aundh   Pune - 411007, Maharashtra, India",9923315789,Private School Co-Educational School 
Dr. Cyrus Poonawalla English Medium School,"Ganesh Nagar, A/P Uruli Kanchan, Teh- Haveli   Pune - 412202, Maharashtra, India",(020)-26927272,Nursery - Class XII CBSE Board Private School Co-Educational School Established in 2010 
Dr. DY Patil Pre School,"Plot No. 282, Sector No. 2, Sai Chowk, 
Indrayani Nagar, Bhosari   Pune - 411026, Maharashtra, India",8237456785,Play - Nursery Private School Co-Educational School 
Dr. DY Patil Public School,"Sant Tukaram Nagar, Pimpri   Pune - 411018, Maharashtra, India",9370254560Fax : (020) 27420582,Nursery - Class X CBSE Board Private School Co-Educational School Established in 1992 
Dr. GG Shah English Medium High School,"Prof. J.P. Trivedi Vidya Bhavan, 1433, Kasba Peth   Pune - 411011, Maharashtra, India",(020)-24577291Fax : (020) 24577291,High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Dr. Kalmadi Shamarao High School,"Survey No. 153, D.P. Road, Parihar Chowk,
Aundh   Pune - 411007, Maharashtra, India",7038787888,Nursery - Class X Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Dr. Kalmadi Shamarao High School - Primary Section,"55-57, Dr. Ketkar Road, Erandwana   Pune - 411038, Maharashtra, India",(020)-25433135,Primary School CBSE Board Private School Co-Educational School 
Dr. Kalmadi Shamarao High School - Secondary Section,"Survey No. 36, Ganesh Nagar, Erandawane   Pune - 411038, Maharashtra, India","(020)-25433136, 25411830",Class V - Class X CBSE Board Private School Co-Educational School 
Dr. Kalmadi Shamarao Junior College,"S.No. 36, Erandwane, Ganeshnagar   Pune - 411038, Maharashtra, India",(020)-25411831,Senior Secondary School Private School Co-Educational School Established in 1996 
Dr. Kalmadi Shamarao Pre-Primary School,"S.No. 36, Plot No. 3, Erandwane, Ganeshnagar Road   Pune - 411038, Maharashtra, India","(020)-25467005, 25459281",Play - Nursery Private School Co-Educational School 
Dr. Mrs Erin N Nagarvala School,"No. 3, Kalyani Nagar, Off Nagar Road
   Pune - 411014, Maharashtra, India",(020)-26681626,High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School Established in 1947 
Dr. Narhar Kashinath Gharpure High School,"1359, Bajirao Road, Shukrawar Peth   Pune - 411002, Maharashtra, India",9764292822,High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
DSK School,"DSK Vishwa, Off Sinhagad Road, Dhayari   Pune - 411041, Maharashtra, India",9922963880,Nursery - Class X ICSE/ISC Board Private School Co-Educational School Established in 2003 
DY Patil International School,"DY Patil Knowledge City, DY Patil Road,
Charholi Bk. Via Lohegaon   Pune - 412105, Maharashtra, India",8530427999,Nursery - Class X ICSE/ISC Board Private School (International) Co-Educational School 
Dyanadeep English Medium School,"53/1/1, Vadgaon Budruk   Pune - 411041, Maharashtra, India","(020)-24350677, 24354339",High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Ecole Heritage School,"147/8-9-10, Baner, Near Balewadi Phata, 
Baner-Pimple Nilakh Road   Pune - 411045, Maharashtra, India",(020)-65733666,Play - Class V Private School Co-Educational School 
Edify Kids - Hinjewadi,"Paun Road, Parkhi Wasti, Near Petrol Pump, Maan, Taluka-Mulshi   Pune - 411057, Maharashtra, India",8329310428,Play School Private School Co-Educational School 
Edunation Learning Ventures,"No. 45, A/8, Seva, Somnath Nagar, Vadgaon Sheri, Near Inorbit Mall   Pune - 411014, Maharashtra, India",9822427968,Play - Nursery Private School Co-Educational School 
Elpro International School,"Shridhar Nagar Road, Pimpri-Chinchwad Link Road   Pune - 411033, Maharashtra, India",7506334508,Nursery - Class XII CBSE Board Private School (International) Co-Educational School 
Emmanuel School and Day Care Centre,"Survey No. 164/3/1/1, Gurudwara Colony, Near Patsanstha, Lohegaon   Pune - 411047, Maharashtra, India","9860484222, 9921622910",Play - Nursery Private School Co-Educational School 
Epiphany School,"5, Guruwar Peth, Pune   Pune - 411042, Maharashtra, India",(020)-24467524,Nursery - Class X Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Eureka Preschool,"Erica, A-7, Magarpatta City, Hadapsar 
   Pune - 411028, Maharashtra, India",9552919699,Play - Nursery Private School Co-Educational School 
EuroKids - Ashoknagar,"56, Ram Kutir, Range Hill Road
   Pune - 411007, Maharashtra, India",9881373136,Play - Nursery Private School Co-Educational School 
EuroKids - Aundh,"Corolla Bungalow, Survey No. 243/B, House No. 25, Nagras Road, Aundh, Opp. Allahabad Bank   Pune - 411007, Maharashtra, India",9823081331,Play - Nursery Private School Co-Educational School 
EuroKids - Baner,"Row House No. 3, Avon Society Pancard Club Road, Sutarwadi Baner Gaon Road   Pune - 411045, Maharashtra, India",9922684488,Play - Nursery Private School Co-Educational School 
EuroKids - Baramati,"Vishwamurti Bunglow, Sai Ganesh Nagar, Bhigwan Road, Opp. Ajinkya Bazar   Pune - 413102, Maharashtra, India",8208912009,Play - Nursery Private School Co-Educational School 
EuroKids - Bibewadi,"1, B Wing Mansi Apts, Suvarna Nagari,
Near Bibewadi Police Chowki   Pune - 411037, Maharashtra, India",9595536234,Play - Nursery Private School Co-Educational School 
Eurokids - Choudhary Park,"Row House No.7, Chandraneel Residency, Adarsh Colony, Choudhary Park, Wakad   Pune - 411057, Maharashtra, India",9766455683,Play - Nursery Private School Co-Educational School 
EuroKids - Dapodi,"53, Krishna Ashram, Dapodi   Pune - 411017, Maharashtra, India",9637575256,Play - Nursery Private School Co-Educational School 
EuroKids - Dhanori,"Survey No. 18, Plot No. 7, Kamal Park, Opp.Canara Bank, Dhanori Lohegaon Road, Dhanori   Pune - 411032, Maharashtra, India",(020)-65270270,Play - Nursery Private School Co-Educational School 
EuroKids - Fursungi,"Near Shivshankar Karyalaya, Bhekrainagar, Fursungi
   Pune - 412308, Maharashtra, India",9767033259,Play - Nursery Private School Co-Educational School 
EuroKids - Handewadi,"S.No.66/3/13/9, Satav Nagar, Opposite Shri Sai Baba Mandir, Handewadi Road, Hadapsar   Pune - 411028, Maharashtra, India",9595517062,Play - Nursery Private School Co-Educational School 
EuroKids - Hinjewadi Phase 3,"Plot No. 53, Sia Plaza, Bhoirwadi, Hinjewadi Phase 3, Opp. TCS Gate 4, Hinjewadi   Pune - 411057, Maharashtra, India",9673450066,Play - Nursery Private School Co-Educational School 
EuroKids - Kalyaninagar,"Bungalow No. 2, Matruchhaya Society, 
Near Shastri Nagar Chowk, Kalyaninagar   Pune - 411006, Maharashtra, India",8657606655,Play - Nursery Private School Co-Educational School 
Eurokids - Karvenagar,"Plot No. 6, Swastik Colony, Near Cummins College, Karvenagar   Pune - 411052, Maharashtra, India",9923848633,Play - Nursery Private School Co-Educational School 
EuroKids - Keshavnagar,"S.No 35, Lonkar Wasti, Keshavnagar
Mundhwa   Pune - 411036, Maharashtra, India",9970046434,Play - Nursery Private School Co-Educational School 
EuroKids - Kharadi,"Ambagya, Sr. No. 4/1, Pandhari Nagar, Behind Radisson Hotel   Pune - 4110114, Maharashtra, India",8888835642,Play - Nursery Private School Co-Educational School 
EuroKids - Kondhwa,"39, Nishtha Bunglow, Sahyadri Park, Off Salunke Vihar Road, Near Badhai Sweets   Pune - 411048, Maharashtra, India",9595934799,Play - Nursery Private School Co-Educational School 
Eurokids - Lohegaon Porwal,"Sai Shanti Park, 2nd Floor, Opposite Aeropolis, Porwal Road, Lohegaon Porwal Road   Pune - 411027, Maharashtra, India",7028302830,Play - Nursery Private School Co-Educational School 
EuroKids - Magarpatta City,"Bungalow No. 16, Mulberry Gardens-2, Magarpatta City, Hadapsar   Pune - 411013, Maharashtra, India",8379982993,Play - Nursery Private School Co-Educational School 
EuroKids - Marketyard,"Plot No. 16, Burhani Colony, Behind Hyde Park, Marketyard   Pune - 411037, Maharashtra, India",9049899947,Play - Nursery Private School Co-Educational School 
EuroKids - Moshi,"Sector 13, Plot No. 125/7, Jijamata Nagar, Opp. Golden Orchid, Chikli, Moshi   Pune - 411013, Maharashtra, India",9552512633,Play - Nursery Private School Co-Educational School 
EuroKids - Nigdi,"Swapnil Bungalow, Sector 25, Plot No. 456, R.G. Patel Marg, Bhel Chowk, Pradhikaran, Nigdi
   Pune - 411044, Maharashtra, India",7710081199,Play - Nursery Private School Co-Educational School 
EuroKids - Pavana Nagar,"Shanti Bunglow No. 9, ABC Hsg. Soc. No. 3, Pavana Nagar, Chinchwad   Pune - 411033, Maharashtra, India",8087074522,Play - Nursery Private School Co-Educational School 
EuroKids - Pimple Soudagar,"Lane Opposite to Kunal Icon, Pimple Saudagar   Pune - 411028, Maharashtra, India",(020)-27201679,Play - Nursery Private School Co-Educational School 
EuroKids - Ravet,"Shruti Vastavya CHS, Plot No. 7A/6, Sector 29, Opp. D Mart, Ravet, Pimpri-Chinchwad   Pune - 411044, Maharashtra, India","8888814074, 8888814075",Play - Kindergarten Private School Co-Educational School 
EuroKids - Shirur,"Plot No. 47,48, Sr. No. 1147, Baburao Nagar, Behind Ganga Petrol Pump   Pune - 412210, Maharashtra, India",9765409898,Play - Nursery Private School Co-Educational School 
EuroKids - Talegaon,"Plot No. 363, City Survey No. 52,
Yashwantnagar, Next to Indrayani School, 
Talegaon Dhabhade   Pune - 410507, Maharashtra, India",7066857869,Play - Nursery Private School Co-Educational School 
Eurokids - Undri,"S.No. 5/2/1/2/17, Opp. N.G. Rathi Bunglow Society (Sierra Homes), 
Adjacent to LandMark Society, Behind EuroSchool, Undri   Pune - 411060, Maharashtra, India",8087367860,Play - Nursery Private School Co-Educational School 
EuroKids - Vimannagar,"Row House No. 4, Nitron Landmark Condominium Bunglow, 
Opp. Kailash Supermarket, Vimannagar   Pune - 411014, Maharashtra, India",9527977364,Play - Nursery Private School Co-Educational School 
EuroKids - Wagholi,"Survey No. 1116, Avahalwadi Road, Behind Sai Genset, Wagholi   Pune - 412207, Maharashtra, India",9860574560,Play - Nursery Private School Co-Educational School 
Eurokids - Wagholi Baif,"Bungalow No. 6, Green Groves, Behind Moze Engineering College, Wagholi Baif Road, Wagholi   Pune - 412207, Maharashtra, India",7720944000,Play - Nursery Private School Co-Educational School 
EuroKids - Wakad,"Sr. No. 24/1B, Vishal Nagar   Pune - 411027, Maharashtra, India",9881499633,Play - Nursery Private School Co-Educational School 
EuroKids - Warje,"Sr. No. 112/2, Renuka Nagar, Lane No.2, Opp. to R.M.D. Singhad Institute, Warje   Pune - 411058, Maharashtra, India",9881373136,Play - Nursery Private School Co-Educational School 
EuroSchool Undri,"Survey No.60/1/1 & 60/2/1, Hadapsar Road, Next to Atur Nagar Undri   Pune - 411060, Maharashtra, India","9325681234, 9325691234",Nursery - Class XII ICSE/ISC Board Private School Co-Educational School 
EuroSchool Wakad,"Survey No. 187, Near Dutta Mandir, Adjacent to Palash Complex, Wakad   Pune - 411057, Maharashtra, India","9322511234, 93228 11234",Nursery - Class XII ICSE/ISC Board Private School Co-Educational School 
EuroSchool Wakad West,"Bhumkar Nagar, Wakad Pimpri-Chinchwad   Pune - 411057, Maharashtra, India",7030258585,Nursery - Class XII ICSE/ISC Board Private School Co-Educational School 
Fairy Land Childrens Center,"S No. 759/47, Opp. Chitale Mitai Shop, Deccan Gymkhana   Pune - 411004, Maharashtra, India",(020)-25677231,Play - Nursery Private School Co-Educational School 
FasTracKids - Magarpatta,"C/o The Learning Curve, Bunglow 32, Mulberry Gardens 2, Magarpatta   Pune - 411028, Maharashtra, India",9167140727,Play School Private School Co-Educational School 
FasTracKids - Pashan Sus Road,"C/o Bedrock Educare, Bedrock Preschool, 148/4/3, Yogayog Bunglow, Near New Poona Bakery, 
Vishwakarma Nagar off Pashan Sus Road   Pune - 411021, Maharashtra, India",9764397160,Play School Private School Co-Educational School 
FasTracKids - Pimple Saudagar,"C/o FunNLearn, Sai Orchards Society, Row House No. 3, Pimple Saudagar   Pune - 411001, Maharashtra, India",9923039366,Play School Private School Co-Educational School 
FasTracKids - Wakad,"Colors Preschool, Shankar Kalat Nagar, Datta Mandir Road, Near Bird Valley Resturant   Pune - 411057, Maharashtra, India",8788228946,Play School Private School Co-Educational School 
First Five Preschool,"Plot No. 6, Pallod Farm, Opposite Baner Petrol Pump, Baner   Pune - 411045, Maharashtra, India",9881562464,Play - Nursery Private School Co-Educational School 
First Step Preschool,"Row House No. 4, Akshay Park, Thergaon, Near Dange Chowk, Wakad   Pune - 411003, Maharashtra, India",9881737996,Play - Nursery Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Fledgelings School,"Mahavir Apartment, Opp. Krishna Hospital Next To Tata Indicom Showroom, Paud Rd, Kothrud Depot   Pune - 411038, Maharashtra, India",9270635330,Play - Nursery Private School Co-Educational School 
Flora Kids English Medium School,"Ganesh Nagar, Pimple Nilakh-Pimpri Chinchwad   Pune - 411027, Maharashtra, India","9096305155, 9867107105",Play - Nursery Private School Co-Educational School 
Floret Nursery School and Day Care Centre,"Plot No. 6, Sr. No. 9/16, Near Laxmi Mandir, Laxmi Nagar, Balewadi   Pune - 411045, Maharashtra, India","9423006603, 9766707225",Play - Nursery Private School Co-Educational School 
Flying Birds School,"Nilgiri Apartments, Shantai Niwas, Sr. No. 32, Parawade Building Opp. Avdhoot Complex,
Near Dharmveer Mitra Mandal Trimurti Chowk, Road, Ambegaon BK   Pune - 411046, Maharashtra, India",7776039898,Nursery - Class V ICSE/ISC Board Private School Co-Educational School Established in 2007 
Footprints Pre - School and Day Care Creche - Balewadi,"Shirole's Tejonidhi, S. No. 50/51, Plot No. A-10, Balewadi, Opp. Sai Eshanya Apts.   Pune - 411045, Maharashtra, India",9643187117,Play - Kindergarten Private School Co-Educational School 
Footprints Pre - School and Day Care Creche - Magarpatta,"Bunglow #7, Acacia Garden 2 Magarpatta City, Hadaspur, Near Mata Ka Mandir   Pune - 411013, Maharashtra, India",9643187117,Play - Nursery Private School Co-Educational School 
Footprints Preschool,"Manogya, 17/8/19, Plot No. 20/2, Shivneri Park, Behind New Era Bakery, Baner-Balewadi Road   Pune - 411045, Maharashtra, India",(020)-64105511,Play - Nursery Private School Co-Educational School 
Freewing Preschool,"22, Manamandir Housing Society, Behind Hotel Shivar Garden, Pimple Saudagar   Pune - 411027, Maharashtra, India",9823510929,Play - Kindergarten Private School Co-Educational School Established in 2014 
Fun N Fun Preschool,"Sr. No.112, Plot No. 9, Dnyneshwar Park Society, Behind Kotak Mahindra Bank, 
Mental Corner, Near Joshi Wadewale, Vishrantwadi   Pune - 411006, Maharashtra, India","8793646464, 7888188404",Play - Nursery Private School Co-Educational School 
Fun N Learn Nursery,"Survey No. 32 Shivkripa Nityanand Housing Society, Besides Baramati Bank, Pune Satara Road, Dhankawadi   Pune - 411043, Maharashtra, India",(020)-24371181,Play - Nursery Private School Co-Educational School 
Fun Nursery School,"Om Building, Sasane Nagar, Hadapsar   Pune - 411028, Maharashtra, India",9822888595,Play - Nursery Private School Co-Educational School 
Fun Place Day Care Centre,"Shukrawar Peth, Krishna Prasad, Pune City H.O.   Pune - 411002, Maharashtra, India",(020)-24470201,Play School Private School Co-Educational School 
Fun School,"Mahalaxmi Society, Opposite Santosh Hall, Anand Nagar, Lane No 4, Sinhagad Road-Vadgaon Budruk   Pune - 411041, Maharashtra, India",9372024488,Play - Nursery Private School Co-Educational School 
Funschool,"Above IDBI Bank, Near Pushpa Mangal Karyalaya, Bibvewadi Road
   Pune - 411037, Maharashtra, India",(020)-24231007,Play School Private School Co-Educational School 
G.E.M.S. Preschool,"FP No. 1001, Patrakar Bhavan Lane, Next to Data Mandir, Navi Peth   Pune - 411030, Maharashtra, India","9422522405, 8605050707",Play - Kindergarten Private School Co-Educational School 
Garrison Children High School,"29, Ganshed Road Khadki, Khadaki   Pune - 411003, Maharashtra, India",9881699599,Nursery - Class X Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Garware Balbhavan,"Opposite Sarasbaug   Pune - 411002, Maharashtra, India",(020)-24442109,Play School Private School Co-Educational School 
Geeta Mata English Medium High School,"MIDC, Block 'C', Chinchwad   Pune - 411019, Maharashtra, India",(020)-27460464,Nursery - Class X Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Gems Pre Primary Primary School,"Institute Of Advance Studies I Range Hills   Pune - 411014, Maharashtra, India",(020)-25887601,Play - Nursery Private School Co-Educational School 
Genius Academy,"Bunglow F Sunny Estate, Next To Hotel Ambience Kaspate Vasti, Wakad   Pune - 411057, Maharashtra, India",9922994884,Play School Private School Co-Educational School 
GG International School - GGIS,"174-177, Swarganga, Vallabhnagar, Near The Muslim Co-operative Bank, Pimpri   Pune - 411018, Maharashtra, India","9970170221, 9503087770",Nursery - Class XII CBSE Board Private School Co-Educational School 
Giggles and Scribbles,"Row House No. 5, Ashtavinayak Colony, Kamthe Patil Nagar, Next to Tilenagar, Yewalewadi   Pune - 411048, Maharashtra, India","9325600595, 9225683753",Play - Kindergarten Private School Co-Educational School 
Giggles School,"Behind Parag Gold, Sr. No. 13/5, Belthika Nagar, No. 16 Bus Stop, Thergaon   Pune - 411033, Maharashtra, India",9657114114,Play - Nursery Private School Co-Educational School 
Glazing Star English Medium School,"Sr. No. 13, Meghdoot, Pune-Solapur Road, Lokhandi Pool Lane, Hadapsar   Pune - 411028, Maharashtra, India","9226720142, 9699900096",High Secondary School CBSE Board Private School Co-Educational School 
Global Indian International School - GIIS,"Leisure Town, Survey No. 202, Behind Amanora Fire Station, Malwadi, Hadapsar   Pune - 411028, Maharashtra, India","9319282152, 9319282153",Nursery - Class X CBSE Board Private School Co-Educational School 
Global Star Day Care and Preschool,"Kilbil Industry lane, Ganesh Nagar, Dhayari   Pune - 411041, Maharashtra, India",9975176156,Play - Nursery Private School Co-Educational School 
Glory Junior College of Science,"Koregaon Bhima, Tal - Shirur   Pune - 412216, Maharashtra, India","9552563638, 8657863638",Senior Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
